Year,Make,Model,Condition,Price,SellerName,SellerRating,StreetName,State,ExteriorColor,MinMPG,MaxMPG,FuelType,Mileage
2021,Honda,Accord Sport SE,Used,28500,AutoSavvy Las Vegas,4.6,2121 E Sahara Ave Las Vegas,NV,Gray,29,35,Gasoline,10598
2017,Honda,HR-V LX,Used,20995,Downtown Toyota-Subaru of Oakland,4.4,4145 Broadway Oakland,CA,Modern Steel Metallic,28,34,Gasoline,10458
2021,Subaru,Crosstrek Premium,Used,25500,AutoSavvy Lindon,4.4,370 State St Lindon,UT,Cool-Gray Khaki,28,33,Gasoline,11508
2021,Subaru,Forester Sport,Used,29500,AutoSavvy Boise,4.6,1745 N Five Mile Rd Boise,ID,Ice Silver Metallic,26,33,Gasoline,10859
2018,Subaru,Crosstrek 2.0i Premium,Used,31995,Jennifer's Auto Sales & Service,4,15020 E Sprague Ave Spokane Valley,WA,Venetian Red Pearl,27,33,Gasoline,30849
2018,Subaru,Crosstrek 2.0i Premium,Used,24561,AutoNation Audi Volkswagen Spokane,4.6,10006 E Sprague Ave Spokane Valley,WA,Venetian Red Pearl,27,33,Gasoline,86759
2018,Subaru,Crosstrek 2.0i Premium,Used,24921,NW Group Auto Sales,1,2995 E Mullan Ave Post Falls,ID,Crystal White Pearl,27,33,Gasoline,61053
2017,Honda,Civic EX,Used,22004,Toyota of Lincoln Park,4.2,1561 N Fremont St Chicago,IL,Modern Steel Metallic,31,40,Gasoline,35257
2018,Honda,Civic EX,Used,23739,North Coast Auto Mall of Cleveland,4.8,5700 Brookpark Rd Cleveland,OH,Crystal Black Pearl,31,40,Gasoline,32333
2019,BMW,Z4 sDrive30i,Used,46500,BMW of Sterling,4.5,21710 Auto World Cir Sterling,VA,Metallic,25,32,Gasoline,23504
2019,Honda,Civic Sport,Used,Not Priced,Sterling Motorsport,3.6,9 Douglas Ct #101 Sterling,VA,White Orchid Pearl,30,36,Gasoline,30509
2018,Mazda,CX-5 Grand Touring,Used,25549,DARCARS Pre-Owned Fairfax,3.3,10620 Fairfax Blvd Fairfax,VA,Jet Black Mica,25,31,Gasoline,66601
2020,Tesla,Model X Performance,Used,122222,Joey,4.9,Hollywood,FL,White,80,77,Electric Fuel System,29918
2019,Subaru,Impreza 2.0i Premium,Used,4750,AE of Miami,3.5,5700 NW 27th Ave Miami,FL,Ice Silver Metallic,28,36,Gasoline,67792
2016,Nissan,Rogue SV,Used,19949,CarShop Hatfield,4.7,2801 Bethlehem Pike Hatfield,PA,Pearl White,25,32,Gasoline,60122
2020,Hyundai,Elantra SE,Used,17995,Axis Motorcars,4.4,682 Garfield Ave Jersey City,NJ,Quartz White Pearl,30,40,Gasoline,21368
2021,Toyota,Camry SE,Used,31998,CarMax Pleasanton - Now offering Curbside Pickup and Home Delivery,5,2750 Stoneridge Dr Pleasanton,CA,Black,28,39,Gasoline,27521
2019,Subaru,Crosstrek 2.0i Premium,Used,28998,CarMax Phoenix-West Valley - Now offering Curbside Pickup,3.3,1041 N 99th Ave Tolleson,AZ,Quartz Blue Pearl,27,33,Gasoline,27911
2021,Subaru,Crosstrek Premium,Used,26000,Prestman Auto,4.2,2865 State St Salt Lake City,UT,Yellow Pearl,28,33,Gasoline,7572
2018,Subaru,Crosstrek 2.0i Premium,Used,29998,CarMax Salem - Now offering Curbside Pickup,2.2,395 Lancaster Drive SE Salem,OR,Ice Silver Metallic,27,33,Gasoline,8832
2018,Subaru,Crosstrek 2.0i Premium,Used,27998,Dick Hannah Subaru,4.7,7407 NE Vancouver Plaza Dr Vancouver,WA,Dark Gray Metallic,27,33,Gasoline,70778
2017,Nissan,Rogue S,Used,16985,RAVMOTORS,4.9,3635 Minnesota 13 W Burnsville,MN,Caspian Blue,25,32,Gasoline,47061
2019,Chevrolet,Cruze LS,Used,21998,Weber Chevrolet Creve Coeur,4.9,12015 Olive Blvd Creve Coeur,MO,Silver Ice Metallic,28,38,Gasoline,29865
2020,Honda,Civic Sport,Used,19800,Stars Auto Sales,4.3,5048 S Packard Ave Cudahy,WI,White,29,37,Gasoline,20164
2018,Nissan,Rogue SL,Used,26884,Napleton Nissan,3.4,1301 Indianapolis Blvd Schereville,IN,Magnetic Black,25,32,Gasoline,53043
2018,Honda,Civic LX,Used,20000,Auto Boutique,4.8,10100 Atlantic BLVD Jacksonville,FL,Gray,30,39,Gasoline,42836
2019,Honda,Civic Sport,Used,24995,SMH Auto Sales,4.8,1513 West Patrick Street Frederick,MD,Lunar Silver Metallic,25,36,Gasoline,49051
2019,Mazda,Mazda3 AWD w/Preferred Package,Used,16499,Prestige Imports Auto Sales,3.7,654 W Bridge St Morrisville,PA,Soul Red Crystal Metallic,25,33,Gasoline,15875
2020,Tesla,Model Y Long Range,Used,65995,Victory Mitsubishi,3.4,4070 Boston rd Bronx,NY,Blue,127,114,Electric,9561
2021,Tesla,Model Y Long Range,Used,71277,AutoFair Honda,4.8,200 Keller Street Manchester,NH,Pearl White Multi,131,117,Electric,15002
2019,Subaru,Forester,Used,26200,Tri-City Chrysler Dodge Jeep Ram,4.8,189 Route 108 Somersworth,NH,Ice Silver Metallic,26,33,Gasoline,30403
2020,Tesla,Model Y Long Range,Used,73992,Gilroy Chevrolet,4.6,6720 Automall Ct Gilroy,CA,White,127,114,Electric,12332
2018,Honda,Civic EX-T,Used,26955,AutoNation Toyota Hayward,4.4,24773 Mission Blvd Hayward,CA,Crystal Black Pearl,31,40,Gasoline,12123
2020,Toyota,Corolla SE,Used,18500,Best Western Motors,4.4,1819 S. 7th St Phoenix,AZ,Blue,31,40,Gasoline,10514
2021,Subaru,Forester Sport,Used,29700,AutoSavvy Boise,4.6,1745 N Five Mile Rd Boise,ID,Dark Blue Pearl,26,33,Gasoline,13925
2020,Lexus,RX 450hL Base,Used,56500,Tacoma Nissan,4.3,4030 South Tacoma Way Tacoma,WA,Matador Red Mica,29,28,Hybrid,11559
2021,Subaru,Forester Premium,Used,28400,AutoSavvy Post Falls,4.5,1349 N Beck Rd Post Falls,ID,Crystal Black Silica,26,33,Gasoline,14634
2019,Mazda,CX-5 Grand Touring,Used,29895,Lone Star Toyota of Lewisville,4,1547 S Stemmons Fwy Lewisville,TX,Jet Black Mica,25,31,Gasoline,30322
2021,Tesla,Model 3 Performance,Used,65786,Brandon Tomes Subaru,4.5,1100 S Central Expy McKinney,TX,Pearl White Multi,118,107,Gasoline,32600
2019,BMW,330 i xDrive,Used,39521,BMW of Kansas City South,4.8,1200 W 104th St KCMO,MO,Jet Black,25,34,Gasoline,39669
2019,Honda,CR-V EX,Used,28693,Mercedes-Benz of West Houston,3.7,1025 Hwy 6 Houston,TX,Gunmetal Metallic,28,34,Gasoline,30340
2017,Subaru,Impreza 2.0i,Used,16823,North Imports,4.5,1705 Highway 13 East Burnsville,MN,Blue,28,38,Gasoline,40060
2019,Honda,CR-V EX-L,Honda Certified,34499,Mungenast St. Louis Honda,4.9,5939 S Lindbergh Blvd Saint Louis,MO,Modern Steel Metallic,27,33,Gasoline,36188
2018,Nissan,Rogue SL,Used,21690,Arlington Nissan,4.4,1100 W Dundee Rd Arlington Heights,IL,Gun Metallic,25,32,Gasoline,75290
2019,Honda,Accord EX-L 1.5T,Used,20900,Stars Auto Sales,4.3,5048 S Packard Ave Cudahy,WI,Black,30,38,Gasoline,75592
2019,BMW,330 i,Used,39597,Century Automotive,2.1,3800 University Dr NW Huntsville,AL,Black Sapphire Metallic,26,36,Gasoline,19377
2020,Chevrolet,Spark LS,Used,13989,Auto Palace,4.6,4621 W Broad St Columbus,OH,Gray,30,38,Gasoline,14035
2019,Hyundai,Elantra SE,Used,21998,CarMax Columbus Sawmill - Now offering Curbside Pickup and Home Delivery,2.5,2700 Farmers Dr Columbus,OH,Phantom Black,29,38,Gasoline,11326
2019,Hyundai,Elantra SE,Used,18997,Herrnstein Hyundai,4.9,2827 RIVER RD Chillicothe,OH,Phantom Black,29,38,Gasoline,43148
2018,Honda,Accord EX-L 1.5T,Used,18985,Auto Kingdom,4,4901 Albemarle Rd Charlotte,NC,Modern Steel Metallic,30,38,Gasoline,87091
2019,Mazda,CX-5 Grand Touring,Used,27491,Gettel Nissan,4.6,3530 Bee Ridge Rd Sarasota,FL,Jet Black Mica,25,31,Gasoline,23639
